country,continent,per100k_habitants,per100k_vehicles,total,year
Iceland,Europe,3.8,7.6,8,2021
India,Asia,16.6,130.1,"207,551",2016
Indonesia,Asia,15.3,36.7,"38,279",2016
Iran,Asia,20.5,54.1,"16,426",2016
Iraq,Asia,20.2,151.2,"6,826",2013
Ireland,Europe,2.9,7.5,194,2019
Israel,Asia,4.2,10.7,345,2016
Italy,Europe,5.2,6.3,"3,333",2019
Ivory Coast,Africa,24.2,828.9,"4,924",2013
Jamaica,North America,11.5,61.7,320,2013
Japan,Asia,4.1,5.7,"5,224",2016
Jordan,Asia,7.65,49.9,750,2016
Kazakhstan,Asia,24.2,101.4,"3,983",2016
Kenya,Africa,29.1,640.7,"12,891",2013
Kiribati,Oceania,2.9,86.9,3,2013
Kuwait,Asia,18.7,34.2,629,2013
Kyrgyzstan,Asia,22.0,127.3,1220,2016
Laos,Asia,14.3,67.5,971,2013
Latvia,Europe,6.9,24.8,205,2019
Lebanon,Asia,22.6,64.8,1088,2016
Lesotho,Africa,28.2,474.8,584,2013
Liberia,Africa,35.9,,"1,657",2016
Libya,Africa,26.1,46.3,"1,645",2016
Lithuania,Europe,6.6,16.1,234,2019
Luxembourg,Europe,8.7,9.9,46,2016
Madagascar,Africa,28.4,2963,"6,506",2013
Malawi,Africa,31.0,,"5,601",2016
Malaysia,Asia,23.6,29.8,"7,374",2016
Maldives,Asia,3.5,19.5,12,2013
Mali,Africa,25.6,1352.5,"3,92",2013
Malta,Europe,5.1,6.8,22,2016
Marshall Islands,Oceania,5.7,141.8,3,2013
Mauritania,Africa,24.5,228.7,952,2013
Mauritius,Africa,12.2,35.6,158,2013
Mexico,North America,12.3,43,"15,062",2013
Micronesia,Oceania,1.9,24,2,2013
Moldova,Europe,12.5,61.8,437,2016
Monaco,Europe,0,,0,2013
Mongolia,Asia,21.0,88.4,597,2016
Montenegro,Europe,10.7,31.7,67,2016
Morocco,Africa,18.0,209,"6,87",2013
Mozambique,Africa,31.6,1507,"8,173",2013
Myanmar,Asia,20.3,250.8,"10,809",2013
Namibia,Africa,23.9,196.4,551,2013
Nepal,Asia,17.0,399.8,"4,713",2013
Netherlands,Europe,3.8,6,648,2019
New Zealand,Oceania,7.8,10,364,2016
Nicaragua,North America,15.3,164.3,931,2013
Niger,Africa,26.4,1491.1,"4,706",2013
Nigeria,Africa,20.5,615.4,"35,621",2013
North Macedonia,Europe,9.4,49.1,198,2016
Norway,Europe,2,3,110,2019
Oman,Asia,25.4,85.3,924,2013
Pakistan,Asia,14.2,283.9,"25,781",2013
Palau,Oceania,4.8,14.1,1,2013
Panama,North America,10.0,38.4,386,2013
Papua New Guinea,Oceania,16.8,1306.5,"1,232",2013
Paraguay,South America,20.7,114.7,"1,408",2013
Peru,South America,13.9,99.3,"4,234",2013
Philippines,Asia,10.5,135,"10,379",2013
Poland,Europe,7.7,13.5,"3,698",2019
Portugal,Europe,6.3,11.7,768,2019
Qatar,Asia,6.0,27.1,161,2021
Romania,Europe,9.6,31.4,"1,881",2019
Russia,Europe,11.6,50,"16,981",2019
Rwanda,Africa,32.1,3521.1,"3,782",2013
Saint Lucia,North America,18.1,2103.3,33,2013
Saint Vincent and the Grenadines,North America,8.2,31.7,9,2013
Samoa,Oceania,15.8,171.9,30,2013
San Marino,Europe,3.2,1.8,1,2013
São Tomé and Príncipe,Africa,27.5,161.5,55,2016
Saudi Arabia,Asia,27.4,119.7,"7,898",2013
Senegal,Africa,27.2,956.4,"3,844",2013
Serbia,Europe,7.6,28.4,649,2019
Seychelles,Africa,8.6,43,8,2013
Sierra Leone,Africa,27.3,2414.2,"1,661",2013
Singapore,Asia,3.6,20.2,197,2013
Slovakia,Europe,4.5,12.7,330,2019
Slovenia,Europe,4.9,9.5,134,2019
Solomon Islands,Oceania,19.2,240,108,2013
Somalia,Africa,25.4,6532.5,"3,884",2016
South Africa,Africa,25.1,133.9,"13,273",2013
South Korea,Asia,6.5,13,"3,349",2019
Spain,Europe,3.7,5.8,"1,922",2019
Sri Lanka,Asia,17.4,70.9,"3,691",2013
Sudan,Africa,24.3,2872.8,"9,221",2013
Suriname,South America,19.1,49.7,103,2013
Swaziland,Africa,24.2,1667.4,303,2013
Sweden,Europe,2.2,4.6,223,2019
Switzerland,Europe,2.2,3.7,223,2019
Taiwan,Asia,12.1,,"2,865",2019
Tajikistan,Asia,18.8,374.9,"1,543",2016
Tanzania,Africa,32.9,1073.7,"16,211",2013
Thailand,Asia,32.7,60.2,"22,491",2016
Togo,Africa,31.1,3653.4,"2,123",2013
Tonga,Oceania,7.6,98.1,8,2013
Trinidad and Tobago,North America,14.1,58.9,189,2013
Tunisia,Africa,24.4,154.4,"2,679",2013
Turkey,Asia,12.3,46.4,"9,782",2016
Turkmenistan,Asia,17.4,107.8,914,2016
Uganda,Africa,27.4,836.8,"10,28",2013
Ukraine,Europe,13.7,42.2,"6,089",2016
United Arab Emirates,Asia,18.1,62.7,"1,678",2013
United Kingdom,Europe,2.9,5.7,"2,026",2019
United States,North America,12.4,14.2,"39,888",2018
Uruguay,South America,13.4,19.6,460,2016
Uzbekistan,Asia,11.5,,"3,617",2016
Vanuatu,Oceania,16.6,300,42,2013
Vietnam,Asia,24.5,55,"22,419",2013
Yemen,Asia,21.5,436.6,"5,248",2013
Zambia,Africa,24.7,670.9,"3,586",2013
Zimbabwe,Africa,28.2,429.8,"3,985",2013
